segmentation,segment_id,manual_id,loc,axon_len,dendrite_len
185,648518346349538001,187,[290748 297464  29400],0.0,1052.657125
185,648518346349538005,407,[451212 226024  69800],61.6038828125,1102.38525
185,648518346349538015,262,[221452 163012  44360],1409.624125,1290.6855
185,648518346349538033,185,[293752 259464  26920],0.0,2810.0085
185,648518346349538053,148,[327652 221140  21960],507.28071875,3000.942
185,648518346349538056,85,[309748 174716  11160],1379.29,1686.087125
185,648518346349538070,440,[454476 180804  68080],53.085546875,1348.227375
185,648518346349538098,358,[221572 224188  59800],66.153265625,2386.6485
185,648518346349538100,445,[270012 173220  79320],0.0,1718.36225
185,648518346349538102,446,[280932 195932  79960],16.66812109375,1586.92225
185,648518346349538112,380,[324560 214540  66840],71.3938671875,2678.2685
185,648518346349538133,563,[275760 181948  86240],0.0,0.0
185,648518346349538157,170,[282432 174936  27080],2016.372875,2124.2270000000003
185,648518346349538188,12,[356316 202444   1040],988.2019375,1288.616375
185,648518346349538192,111,[404788 194612  20000],1247.369,2216.9875
185,648518346349538193,349,[401252 271600  61440],37.9983125,2268.116
185,648518346349538209,329,[302032 209912  55200],1009.94225,3335.4335
185,648518346349538231,418,[407884 278916  76120],0.0,1642.88425
185,648518346349538235,193,[316936 198316  30760],1653.57325,1493.7025
185,648518346349538237,394,[168260 241408  68960],23.386216796875,731.44425
185,648518346349538239,474,[254008 222672  79200],0.0,2662.2335
185,648518346349538250,345,[358412 161880  62760],493.3438125,1580.49525
185,648518346349538251,285,[334484 290700  48880],0.0,2187.4625
185,648518346349538259,486,[328904 284192  84120],0.0,1334.064125
185,648518346349538270,508,[321600 239388  85640],0.0,1359.9145
185,648518346349538278,266,[325796 225872  45680],599.0156875,2862.5205
185,648518346349538286,449,[252544 178092  82840],0.0,1724.366125
185,648518346349538291,388,[281408 172108  66480],940.6705625,2059.574625
185,648518346349538296,512,[440704 243496  84680],26.80430859375,1816.2165
185,648518346349538298,2,[285668 182672   3160],1167.4905,1345.46175
185,648518346349538312,527,[304320 183752  86240],0.0,1803.508875
185,648518346349538317,-1,[250612 154576  85400],0.0,971.9186875
185,648518346349538332,274,[308204 264208  48080],28.393625,2783.29675
185,648518346349538336,404,[281012 218124  70080],77.5813046875,2560.8615
185,648518346349538365,252,[251060 233444  46200],64.0303125,2618.77325
185,648518346349538368,366,[234432 212016  66480],946.2723125,1786.4075
185,648518346349538378,168,[272176 206772  25520],296.94228125,2889.0765
185,648518346349538387,371,[243840 184472  64400],689.2611875,1952.83425
185,648518346349538391,58,[402404 281812  11560],0.0,1577.2
185,648518346349538395,326,[338224 266516  57080],30.662671875,2776.4590000000003
185,648518346349538410,216,[415868 202908  35640],1404.3039999999999,1817.590375
185,648518346349538414,548,[325348 200504  85880],0.0,254.483703125
185,648518346349538416,392,[382300 289188  67760],0.0,1619.3565
185,648518346349538421,1,[355796 186808    960],997.480375,1762.160125
185,648518346349538426,0,[344596 251792   9840],48.91619921875,2819.0255
185,648518346349538431,69,[310076 290568   8720],0.0,776.5288125
185,648518346349538440,267,[326268 210168  48760],1032.2005,3432.092
185,648518346349538451,260,[185372 279648  43600],0.0,618.843625
185,648518346349538462,235,[196808 212856  42360],570.5491875,1097.6589999999999
185,648518346349538466,331,[336216 202416  56960],70.959359375,2497.9725
185,648518346349538475,147,[220664 273740  25880],0.0,1068.247875
185,648518346349538478,269,[356964 218180  53000],1064.500375,3000.577
185,648518346349538527,265,[287688 219688  46920],569.434375,2819.42525
185,648518346349538711,39,[414912 217332  12160],550.9760625,2300.51025
185,648518346349538715,25,[206172 230272   6200],59.4143828125,1028.7020625
185,648518346349538718,370,[317516 163676  66480],96.664109375,2095.458
185,648518346349538721,455,[173776 267792  78160],0.0,1009.715125
185,648518346349538730,95,[295032 257996  13720],40.341515625,2629.4775
185,648518346349538733,492,[195748 267752  82440],0.0,803.48975
185,648518346349538746,190,[331268 292212  36080],0.0,1985.645
185,648518346349538782,34,[438912 173172   1520],278.1470625,640.1624375
185,648518346349538787,154,[362672 172232  24040],2120.971,1596.6285
185,648518346349539067,119,[252176 257788  20760],26.49405859375,1818.204
185,648518346349539068,231,[262156 205232  39080],675.3210625,2862.962
185,648518346349539070,55,[389732 239728  10560],174.8879375,1670.5135
185,648518346349539071,270,[434512 180852  45440],1287.131,1306.748375
185,648518346349539076,420,[238508 244280  73440],42.55755859375,2210.84525
185,648518346349539079,65,[432848 179536  11080],1084.527125,1106.99075
185,648518346349539080,489,[374204 182308  82320],17.06111328125,1463.92575
185,648518346349539093,279,[367276 263652  49040],29.53172265625,2044.1675
185,648518346349539095,381,[311428 252552  68080],46.92934375,2396.1665
185,648518346349539096,430,[347192 253112  77600],0.0,2899.17775
185,648518346349539097,87,[339352 185284  12160],1712.722875,1484.775875
185,648518346349539100,360,[408268 245504  62160],54.40658984375,1193.63675
185,648518346349539103,465,[372032 163924  79360],0.0,1334.84675
185,648518346349539110,338,[210456 185404  57360],755.882375,1482.430875
185,648518346349539333,344,[335592 159468  61480],1780.75025,1832.957
185,648518346349539334,78,[372596 273276  14840],0.0,2102.00825
185,648518346349539336,491,[217332 252688  83480],0.0,1856.81225
185,648518346349539347,18,[342312 273168   1720],0.0,709.295125
185,648518346349539359,284,[401216 256044  48360],45.09269140625,1854.969375
185,648518346349539366,301,[338012 247284  49560],44.0972734375,2822.113
185,648518346349539368,31,[324980 253792   7360],45.6589375,2033.916625
185,648518346349539376,480,[370812 284536  79040],0.0,2312.56540625
185,648518346349539390,531,[249264 253228  83400],0.0,1791.58
185,648518346349539401,100,[245820 216436  14000],70.5959140625,1713.9845
185,648518346349539414,283,[414076 233788  49280],78.91878125,2272.95825
185,648518346349539423,281,[423528 205776  47920],1296.70875,2282.8435
185,648518346349539430,513,[460096 229764  83920],0.0,1350.5945
